date,time,location,operator,flight no,route,AC type,registration,cn/ln,aboard,passengers_on_aboard,crew_on_aboard,fatality,passengers_fatality,crew_fatality,ground_fatality,summary
"October 27, 1974",2336,"Old Man's Camp, Alaska",Alaska International Air,?,Fairbanks - Bettles,Lockheed L-100 Hercules,N102AK,4234,4.0,0.0,4.0,4.0,0.0,4.0,0,"While en route, the cargo plane lost a wing and spiraled into the ground. Failure of the right wing in fight. Fatigue fracture. Inadequate maintenance and inspection."
"October 28, 1974",16:45,"Pagosa Springs, Colorado",Hlavka Aviation - Air Taxi,?,"Gallup, NM - Rapid City, SD",Beechcraft 95-B55,N414K,?,2.0,1.0,1.0,2.0,1.0,1.0,0,Pilot refused weather briefing. Flew into blind canyon. Icing conditions. Continued VFR flight into adverse weather conditions.
"November 01, 1974",1456,"Near Surgut, Russia",Aeroflot,662,	Khanty - Surgut,Antonov An-2 / Mil Mi-8T,CCCP-70766,	 1G132-21,38.0,32.0,6.0,38.0,32.0,6.0,0,Midair collision between a An-2 and a Mil Mi-8T in poor weather.
"November 15, 1974",?,"Manila, Philippines",Orient Air System and Integrated Services,?,?,Douglas C-47A-30,RP-C570,25452/14007,8.0,5.0,3.0,1.0,1.0,0.0,0,The No.2 prop was feathered when the engine failed after taking off. The aircraft lost altitude during a 180 degree turn and a forced landing was made in a rice field.
"November 20, 1974",0754,"Near Nairobi, Kenya",Lufthansa,540,Frankfurt - Nairobi - Johannesburg,Boeing B-747-130,D-ABYB,19747/29,157.0,144.0,13.0,59.0,55.0,4.0,0,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.
"November 20, 1974",0930,"Soddu, Ethiopia",Ethiopian Airlines,?,Soddu - Beica,Douglas DC-3,ET-AAR,9465,24.0,21.0,3.0,2.0,0.0,2.0,0,Stalled  on takoff and crashed.
"November 22, 1974",?,"Barcelona, Spain",Alpa Servicios Aéreos,?,?,Cessna 500 Citation I,EC-CGG,500-0108,4.0,0.0,4.0,4.0,0.0,4.0,0,Crashed during takeoff.
"December 01, 1974",1110,"Near Berryville, Virginia",Trans World Airlines,514,Columbus - Washington D.C.,Boeing B-727-231,N54328,20306/791,92.0,85.0,7.0,92.0,85.0,7.0,0,The plane crashed into high terrain at approximately 270 mph during an approach to Dulles Airport. The crew's decision to descend before aircraft reached the approach segment. The crew ignored high terrain marked on the en route chart and continued their descent. Lack of clarity in ATC procedures. The issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. Inadequate depiction of altitude restrictions on the profile view of the approach chart for the VOR/DME approach to Runway 12 at Dulles International Airport.
"December 01, 1974",1926,"Bear Mountain,  Thiells, New York",Northwest Orient Airlines,6231,"New York City, NY - Buffalo, NY",Boeing B-727-251,N274US,20296,3.0,0.0,3.0,3.0,0.0,3.0,0,"The aircraft stalled in a climb from which recovery was not effected. The loss of control of the aircraft because the flight crew failed to recognize and correct the aircraft's high-angle-of-attack, low-speed stall and its descending spiral. The stall was precipitated by the flight crew's improper reaction to erroneous airspeed and Mach indications which had resulted from a blockage of the pitot heads by atmospheric icing. Contrary to standard operational procedures, the flight crew had not activated the pitot head heaters."
"December 04, 1974",0458,"Irkutsk, Russia",Aeroflot,?,Irkutsk - Kazachinskoye,Antonov An-2 / Antonov An-12,49342/12985,1G12-26/00347110,18.0,11.0,7.0,13.0,11.0,2.0,0,The An-2 crashed after colliding with Antonov 12 over Irkutsk airport. The ATC cleared the An-2 for takeoff crossing An-12s flight path. The An-12 landed safely. Eleven passengers and 2 crew killed on the An-2
"December 04, 1974",2215,"Near Maskeliya, Sri Lanka",Martinair Holland NV,138,Surabaya - Jeddah,McDonnell Douglas DC-8-55F,PH-MBH,45818/242,191.0,182.0,9.0,191.0,182.0,9.0,0,"The aircraft impacted Mount Anjimalai at 4,355 ft. the during approach. The crew descended below a safe altitude due to a position error resulting from misinterpretation of Doppler and weather radar."
"December 11, 1974",?,"Near Old Harbors, Alaska",Kodiak Airways,?,Old Harbor - Kodiac,Grumman G-21,N1583V,1125,5.0,4.0,1.0,5.0,4.0,1.0,0,Disappeared en route. Never found.
"December 12, 1974",?,"Near Moc Hoa, South Vietnam",Military - Vietnamese Air Force,?,?,Boeing Vertol CH-47 (helicopter),?,?,54.0,53.0,1.0,54.0,53.0,1.0,0,Shot down by a surface-to-air missile.
"December 14, 1974",1101,"Bukhara, Uzbekistan",Aeroflot,124,Bukhara - Dushanbe,Yakovlev 40,CCCP-87630,9131119,19.0,15.0,4.0,7.0,7.0,0.0,0,Overran the runway and hit a dyke while attempting to take off. Elevator lock not removed.
"December 22, 1974",1330,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),358,Ciudad Bolivar - Maturin - Caracas,McDonnell Douglas DC-9-14,YV-C-AVM,47056/89,77.0,71.0,6.0,77.0,71.0,6.0,0,"Four minutes after takeoff from runway 05 at Maturin Airport, while climbing , the plane struck the slope of Mt Zamuro,  20 km from the airport."
"December 29, 1974",?,"Near Sibiu, Romania",Tarom,?,Oradea - Sibiu - Bucharest,Antonov AN-24RV,YR-AMD,27307606,33.0,28.0,5.0,33.0,28.0,5.0,0,"Crashed into Lotru mountains, 22 km south of Sibiu after drifting 20 km off course by winds and turbulence. Wrong decisions on part of the flying crew who adopted a wrong approach configuration, causing the aircraft to drift."
"December 29, 1974",?,"Tikal, Guatemala",Edwin Ortiz,?,Tikal - Guatemala City,Lockheed 18 LodeStar,TG-HTM,582,24.0,21.0,3.0,24.0,213.0,3.0,0,"Few minutes after takeoff from Tikal Airport, while climbing, the airplane went out of control and crashed on the slope of a mountain located few km from the airport. Possible in-flight fire."
"January 03, 1975",?,"Near Nha Trang, Vietnam",Air America,?,Da Lat - Nha Trang,Fairchild C-123K,ST-1,20074,9.0,6.0,3.0,9.0,6.0,3.0,0,Shot down with a SAM missile.
"January 08, 1975",0830,"Near Doncello, Colombia",SATENA,?,San Vicente del Caguan - Florencia,Douglas DC-3,FAC-688,?,21.0,17.0,4.0,21.0,17.0,4.0,0,Crashed and burned in mountains while en route. Improper flight planning by proceeding in mountainous terrain during adverse weather conditions which had reduced visibility along the route.
"January 09, 1975",1607,"Whittier, California",Golden West Airlines / Private,261,Ontario - Los Angeles,de Hav Can. DHC-6 Tw Otter 100/ Cessna,N6383,83,14.0,10.0,4.0,14.0,10.0,4.0,0,"Midair collision between a DHC-6 and a Cessna 150 at 2,200 feet while approaching Ontario Airport. Twelve aboard the Otter  and two aboard the Cessna killed. The failure of both flight crews to see the other aircraft in sufficient time to initiate evasive action. This was because of the position of the sun, the closure angle of the aircraft and the necessity of the Twin Otter's flight crew to acquire visual contact with radar reported traffic directly ahead of them."
"January 15, 1975",1721,"Budapest, Hunary",Malev Hungarian Airlines,?,Berlin - Budapest,Ilyushin IL-18V,HA-MOH,184007104,9.0,0.0,9.0,9.0,0.0,9.0,0,"The aircraft crashed into the ground 1,360 meters past the runway threshold and 120 meters to the left of the center line while attempting to land at Ferihegy airport. Poor weather, fog, nightime conditions, lack of crew coordination and possible spatial disorientation contributed to the accident."
"January 16, 1975",?,"Xam Neua, Laos",Aeroflot,?,Vientiane - Sam Neua,Antonov AN-12, CCCP-70417,1G141-71,16.0,14.0,2.0,16.0,14.0,2.0,0,"En route from Vientiane to Sam Neua, the crew encountered poor weather conditions when the airplane struck the slope of a mountain located in the region of Sam Neua. Flying VFR in IFR weather."
"January 30, 1975",1850,"Istanbul, Turkey",Turkish Airlines (THY),?,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAP,11058,42.0,38.0,4.0,42.0,38.0,4.0,0,"After an electrical failure at the airport the aircraft initiated a go-around. Because another aircraft was about to take off, an extended downwind leg was flown. The aircraft crashed into the Sea of  Marmara while in the process of making the second approach. It is though the pilot-in-command may lost control of the airplane after suffering  spatial disorientation while flying at night under VFR mode over the Marmara Sea without any visual reference points."
"January 30, 1975",?,"Santo Domingo, Dominican Republic",Linea Aérea Nacional,?,Santo Domingo - Port-au-Prince,Douglas DC-3-313,HI-222,2189,30.0,27.0,3.0,2.0,1.0,1.0,0,Crashed during take off. Failure of the right engine.
"February 01, 1975",0858,"Houston, Texas",Horizon Properties,?,"Lawton, OK - Huntsville, TX",Douglas DC-3C,N15HC,43080,16.0,14.0,2.0,5.0,3.0,2.0,0,"The flight was diverted to Houston because weather at Huntsville was below minima.  An ILS approach was abandoned due to intermittent operation of the aircraft ILS localizer receiver instruments. The crew then tried an approach with Houston TRACON monitoring on surveillance radar. The DC-3 descended too low until the left wing collided with a  high power line tower, located 1.8 miles short of the runway. Fifteen feet of wing was torn off and the aircraft continued another 650 feet before striking the ground inverted.  Improper in-flight decisions or planning and improper IFR operation."
"February 03, 1975",2310,"Manila, Philippines",Philippine Air Lines,?,Manila - Iligan,Hawker Siddeley HS-748 2,RP-C1028,1590,33.0,29.0,4.0,33.0,29.0,4.0,0,The No. 2 engine caught fire shortly after takeoff.  The aircraft crashed into a rice field 3 miles short of the runway while making an emergency approach back to the airport.
"February 09, 1975",1730,"Souda, Crete",Military - Deutsche Luftwaffe,?,Hohn - Chania,Transall C-160,5063,D-85,40.0,35.0,5.0,40.0,35.0,5.0,0,"Slammed into a mountain at an altitude of 5,000 ft. during an approach to Canea in a snow shower."
"February 16, 1975",1900,"Fairbanks, Alaska",Pacific Alaska Airlines,?,Fairbanks - Happy Valley Camp,Douglas DC-6BF,N77DG,43520/222,3.0,0.0,3.0,3.0,0.0,3.0,0,The cargo plane lost three of four engines on takeoff. The crew tried to return to the airport but crashed short of the runway. Fuel contamination. Water in fuel.
"February 22, 1975",2212,"Medellin, Colombia",Aerocondor,?,"Medellin, Colombia - Miami, Florida",Canadair CL-44,HK-1972,?,5.0,0.0,5.0,5.0,0.0,5.0,0,Minutes after taking off in a rainstorm the right wing struck a tree. The crew lost control of the plane and crashed.
"February 27, 1975",0633,"Near Sao Paulo, Brazil",VASP,?,Sao Paulo - Bauru,Embraer 110C Bandeirante,PP-SBE,110021,15.0,13.0,2.0,15.0,13.0,2.0,0,"The plane crashed into houses after taking off and burst into flames. The plane had engine trouble, attempted to return to the airport when it crashed into the houses."
"March 12, 1975",1830,"Pleiku, South Vietnam",Air Vietnam (South Vietnam),?,?,Douglas DC-4,XV-NUJ,10701,26.0,20.0,6.0,26.0,20.0,6.0,0,Shot down by a hand-held surface-to-air missile by North Vietnamese forces 25 miles SW of Pleiku.
"March 16, 1975",1340,"Near Barito, Argentina",Military - Argentine Air Force,?,El Palomar AB - San Carlos de Bariloche,Fokker F-27 Friendship 400M,TC-72,10404,55.0,50.0,5.0,55.0,50.0,5.0,0,The aircraft struck a mountain while preparing for an ILS approach in poor weather. Crew error. Crew descended below the minimum safe altitude before knowing their position.
"March 18, 1975",?,"Singa, Sudan",Sudan Airways,?,?,de Havilland Canada DHC-6 Twin Otter 100,ST-ADB,85,6.0,4.0,2.0,5.0,3.0,2.0,0,Unknown circumstances.
"March 18, 1975",1004,"Near Terney, Russia",Aeroflot,?,Terney - Amgu,Antonov An-2,CCCP-05655,?,12.0,10.0,2.0,7.0,6.0,1.0,0,"Crashed during climbout. The crew failed to prepare the flight properly as the total weight of the aircraft was 449 kilos above the MTOW and the CofG was out of the enveloppe, too far aft. This caused the airplane to enter a high angle of attack during the initial climb and to stall and crash."
"March 20, 1975",2315,"Near Quilcene, Washington",Military - U.S. Air Force,?,Clark AFB - Japan,Lockheed C-141A (L.300),64-0641,6054,16.0,12.0,4.0,16.0,12.0,4.0,0,The aircraft struck a ridge of  Mt. Constance in Olympic National Park. Faulty clearance by the ATC after misidentifying the C-141 as another aircraft.
"April 04, 1975",1630,"Saigon, South Vietnam",Military - U.S. Air Force,?,Saigon - Clark - Los Angeles,Lockheed C-5A Galaxy,68-218,0021,330.0,314.0,16.0,155.0,150.0,5.0,0,"The aircraft reported it was returning to Tan Son Nhut Airbase 15 minutes after taking off. The aircraft was not able to make the airport and crashed landed into a rice paddy, 1.5 miles from the airport. The flight was evacuating 243 Vietnamese orphans. Pressure failure due to a faulty rear loading ramp caused decompression which led to severed rudder and elevator cables and loss of two hydraulic systems resulting in a loss of pitch control. Worst single non-combat U.S. military aviation disaster."
"May 13, 1975",2115,"Near Sakon Nakhon, Thailand",Military - U.S. Air Force,?,Nakhom Phanom AB - Utapao AB,Sikorsky CH-53C (helicopter),68-10933,?,23.0,19.0,4.0,23.0,19.0,4.0,0,The copter was observed in an uncontrollable descent to earth in an inverted attitude after which it crashed and burned. Cracking of a rotor spindle assembly  which led to separation of the main rotor.
"June 03, 1975",?,"Manila, Philippines",Philippine Air Lines,?,Legaspi - Manilla,BAC One-Eleven 524FF,RP-C1184,190,64.0,59.0,5.0,1.0,1.0,0.0,0,A bomb exploded in the right rear lavatory causing a hole in the fuselage. The plane landed safely.
"June 17, 1975",?,"Pedro Alfonso, Brazil",Varig,?,Sao Paulo - Porto Nacional - Pedro Afonso - Belém,Hawker Siddeley HS-748-235 Srs. 2A,PP-VDN,1625,15.0,11.0,4.0,1.0,0.0,1.0,3,"The aircraft landed with excessive speed and touched down on the last 300 meters of the runway, overran the runway, crossed a street and crashed into a house."
"June 24, 1975",1605,"JFK Airport, New York, New York",Eastern Air Lines,66,New Orleans - New York City,Boeing B-727-225,N8845E,20443/837,124.0,116.0,8.0,113.0,107.0,6.0,0,"The aircraft crashed into the approach lights to runway 22L at JFK while on an ILS approach to the runway. Aircraft's encounter with heavy rain and a very strong thunderstorm that was located astride the ILS localizer course which resulted in a high descent rate into approach light towers.The flightcrew's delayed recognition and correction of the high descent rate and their reliance upon visual cues rather than on flight instrument reference. However, the adverse winds might have been too severe for a successful approach and landing even had they relied upon and responded rapidly to the indications of the flight instruments.Contributing to the accident was the continued use of Runway 22L when it should have become evident to both air traffic control personnel and the flightcrew that a severe weather hazard existed along the approach path."
"June 26, 1975",2228,"Toledo, Ohio",Hamilton Aviation,?,"Detroit, MI - Peducah, KY",Beechcraft E18S,N791A,?,2.0,1.0,1.0,2.0,1.0,1.0,0,Crashed in an emergency landing. Fatigue fracture of the cylinder head. Standpipe cutoff flush with bottom of oil tank. Improper maintenance.
"July 10, 1975",?,"Bogota, Colombia",Aerovias Condor,?,Bogota  - Barranquilla,Lockheed L-188AF Electra,HK-1976,1087,4.0,0.0,4.0,2.0,0.0,2.0,0,The cargo plane barely took off when it settled back on the runway and crashed into a DC-6. Both planes destroyed.
"July 15, 1975",1234,"Near Batumi, Georgia, USSR",Aeroflot,E-15,Yerevan - Batumi,Yakovlev YAK-40,CCCP-87475,9442037,40.0,35.0,5.0,40.0,35.0,5.0,0,The aircraft struck a mountain after an attempted go-around. Deviation from the standard trajectory for a missed approach. Misinformation supplied to crew.
"July 31, 1975",?,"Taipei, Taiwan",Far Eastern Air Transport,134,Hualien - Taipei,Vickers 837 Viscount,B-2029,439,75.0,70.0,5.0,27.0,27.0,0.0,0,"Stalled and crashed during thunderstorm while attempting to land for a second time. The pilot attempted a go around but the plane did not respond, the wing hit the ground and the plane crashed. The pilot decided to pull up too late for another try at landing and failed to operate the plane properly while doing so."
"August 03, 1975",0430,"Near Immouzer, Morocco",Alia Royal Jordanian Airlines,?,Paris - Agadir,Boeing B-707-321C,JY-AEE,18767/376,188.0,181.0,7.0,188.0,181.0,7.0,0,"The aircraft was on approach when the right wing tip and No. 4 engine struck a mountain peak at 2,400 feet.  Part of the wing separated and the plane crashed into a ravine. Crew error."
"August 03, 1975",1930,"Off Amapala, Honduras",Military - Nicaraguan Air Force,?,Veracruz - Managua,Douglas DC-47,412,?,20.0,17.0,3.0,20.0,17.0,3.0,0,"The plane was unable to land at Ilopango, El Salvador to refuel because of adverse weather conditions. The plane most likely ran out of fuel and crashed into the Pacific Ocean."
"August 07, 1975",1611,"Denver, Colorado",Continental Airlines,426,Denver - Wichita,Boeing B-727-224,N88777,19798/608,131.0,124.0,7.0,0.0,0.0,0.0,0,"The aircraft climbed to about 100 feet above runway 35L and then crashed near the departure end of the runway. At the time of the accident, a thunderstorm with associated rain showers was moving over the northern portion of the airport. The aircraft's encounter, immediately following takeoff, with severe windshear at an altitude and airspeed which precluded recovery to level flight."
"August 09, 1975",1027,"Bagdarin, Russia",Aeroflot,?,Chita - Bagdarin,Ilyushin IL-14M,	 CCCP-52056,7342804,11.0,6.0,5.0,11.0,6.0,5.0,0,The crew deviated from the approach pattern and collided with terrain obscured by clouds 28 km from Bagdarin.
"August 15, 1975",2201,"Krasnovodsk, USSR",Aeroflot,A-053,?,Yakovlev YAK-40,CCCP-87323,9330230,38.0,34.0,4.0,23.0,21.0,2.0,0,The plane descended below the glidepath and crashed. Windshear.
"August 20, 1975",0115,"Near Damascus, Syria",Ceskoslovenske Aerolinie,542,"Prague, Czechoslovakia - Damascus, Syria",Ilyushin IL-62,OK-DBF,31502,128.0,117.0,11.0,126.0,115.0,11.0,0,"The airliner crashed into a sandy knoll, 10 miles NE of Damascus during an approach to Damascus International Airport. Failure of the crew to maintain the minimum flight altitude."
"August 30, 1975",1357,"Near Gambell, Alaska",Wien Air Alaska,99,Nome - Gambell,Fairchild F-27B,N4904,21,32.0,28.0,4.0,10.0,7.0,3.0,0,"After several landing attempts, the aircraft crashed into Sevuokuk Mountain, in fog, while attempting to land at Gambell Airport. The flightcrew's failure to adhere to prescribed company instrument approach procedures while attempting to land in adverse weather conditions."
"September 01, 1975",0800,"Leipzig-Halle, East Germany",Interflug,?,Stuttgart - Leipzig,Tupolev TU-134,DM-SCD,9350702,34.0,28.0,6.0,27.0,24.0,3.0,0,"The aircraft descended below the glide path and struck a radio tower short of the runway. The captain was sentenced to 5 years in prison, the co-pilot, navigator and radio officer received 3 year sentences each. The plane collided with the radio tower because the pilot was flying below the minimum flight altitude."
"September 11, 1975",1020,"Near Bahar Dar, Ethiopia",Ethiopian Airlines,?,Bahar Dar - Debra Marcos,Douglas C-47-DL,ET-ABX,4292,9.0,6.0,3.0,1.0,1.0,0.0,0,"The plane was flying at FL 115 under VFR in scattered clouds. When breaking through a cloud bank a mountain was seen up ahead. A steep climbing turn was initiated, but the tail struck trees, control was lost and the aircraft crashed inverted."
"September 24, 1975",?,"Near Palembang, Indonesia",Garuda Indonesia Airlines,150,Jakarta - Palembang,Fokker F-28 Fellowship 1000,PK-GVC,11039,61.0,57.0,4.0,25.0,21.0,4.0,1,Landed short and struck trees while on approach in poor weather. VFR flight in weather conditions below minima.
"September 30, 1975",0240,"Off Beirut, Lebanon",Malev Hungarian Airlines,?,"Budapest - Beirut, Lebanon",Tupolev TU-154B,HA-LCI,053,60.0,50.0,10.0,60.0,50.0,10.0,0,The aircraft crashed into the Mediterranean sea while on approach. The ILS localizer was down at the time but a visible approach was possible. Cause unknown.
"September 30, 1975",?,"Barranquilla, Colombia",AVIANCA,?,Bogota - Barranquilla,Boeing 727-24C,HK-1272,19525/439,4.0,0.0,4.0,4.0,0.0,4.0,0,?
"October 22, 1975",1653,"Novgorod, Russia",Aeroflot,098L,	Syktyvkar - Vologda - Novgorod - Riga,Yakovlev Yak-40,CCCP-87458,9431736,6.0,2.0,4.0,6.0,2.0,4.0,5,The crew attempted a straight-in approach in fog but the plane went off course after passing the Outer Marker.  The crew descended until the undercarriage and wing contacted a building. Crew error. Attempted to land below minimumns.
"October 23, 1975",1928,"Cairns Airport, Queensland, Australia",Connair,?,Mount Isa - Cairns,de Havilland DH114 Heron 2E,VH-CLS,14067,11.0,8.0,3.0,11.0,8.0,3.0,0,Improper approach during a storm. Crew error. Misalignment of the aircraft with the runway and abandonment of the landing approach. The pilot-in-command did not immediately initiate a climb to a safe altitude for reasons unknown.
"October 27, 1975",0645,"Tomonoco, Bolivia",TAM (Bolivia),?,Tomonoco - La Paz,Convair CV-440-12,TAM-44,328,67.0,63.0,4.0,67.0,63.0,4.0,0,The aircraft took off reaching a altitude of only 300 feet which was insufficient to clear the terrain surrounding the airport. Cause not determined. Overloaded.
"October 30, 1975",0920,"Near Prague, Czechoslovakia",Inex Adria Aviopromet,?,Tivat - Praha,McDonnell Douglas DC-9-32,YU-AJO,47457/620,120.0,115.0,5.0,75.0,71.0,4.0,0,The aircraft landed short and hit high ground during an ILS approach in fog.
"November 03, 1975",1:02,Gulf of Mexico,Petroleum Helicopter,?,?,Bell 212,N90057,?,9.0,8.0,1.0,9.0,8.0,1.0,0,The helicopter crashed after the main rotor failed. No occupants ever found.
"November 17, 1975",2214,"Near Sukhumi, Georgia, USSR",Aeroflot,6274,Tbilisi - Sukhumi,Antonov AN-24,CCCP-46467,27307905,38.0,33.0,5.0,38.0,33.0,5.0,0,"The crew attempted to circumnavigate a thunderstorm but los track of their positon. They descended until the struck Mount Apshara at 2,250 meters."
"November 18, 1975",?,"Caoba, Guatemala",Aviateca,?,Uaxactun - Flores,Douglas DC-3,TG-AGA,6142,22.0,18.0,4.0,15.0,11.0,4.0,0,Crashed into mountainous jungle in poor visibility and heavy rain.
"November 20, 1975",1938,"Kharkov, Ukraine, USSR",Aeroflot,7950,"	Rostov, Russia - 	Kharkov, Ukraine",Antonov AN-24,CCCP-46349,97305708,50.0,46.0,4.0,19.0,18.0,1.0,0,Crashed into trees on a slope of a hill near Kharkov Airport. Air traffic control reported a wrong QNH setting to the crew. Crew ignored ground proximity warnings.
"November 22, 1975",?,"Sofia, Bulgaria",Balkan Bulgarian Airlines,?,Sofia - Varna,Antonov AN-24B,LZ-ANA,67302707,48.0,45.0,3.0,3.0,2.0,1.0,0,Crashed shortly after takeoff. Stalled crashed. Icing.
"November 25, 1975",1850,"Near Bir Lahfan, Egypt",Military - Israel  Air Force,?,?,Lockheed C-130 Hercules,011,?,20.0,11.0,9.0,20.0,11.0,9.0,0,Crashed 15 ft. below the summit of cloud-obscured Jebel Hilal Mountain on the Israeli-occupied Sinai Peninsula.
"November 29, 1975",?,"Hertfordshire, England",Private,?,?,Piper PA-23-250 Aztec,N6645Y,27-3960,6.0,5.0,1.0,6.0,5.0,1.0,0,"Race car driver Graham Hill, 46, was killed when the plane he was piloting got lost in fog and crashed near Elstree Airport."
"December 26, 1975",1449,"Rollinsville, Colorado",Star Aviation,?,"Denver, CO - Grandby, CO",Mitsubishi MU-2B,N133MA,?,9.0,8.0,1.0,9.0,8.0,1.0,0,Crashed into mountains. Continued VFR flight into adverse weather conditions.
"January 01, 1976",0530,"Near Al Qaysumah, Saudi Arabia",Middle East Airlines,438,Beirut - Dubai,Boeing B-720B-023B,OD-AFT,18020/165,82.0,67.0,15.0,82.0,67.0,15.0,0,The aircraft broke-up at FL 370 and crashed in the desert. Detonation of an explosive device in the forward cargo compartment.
"January 03, 1976",1758,"Anchorage, Alaska",Winship Air,?,"Anchorage, AK - Deadhorse, AK",Lear Jet 24A,N651LJ,125,6.0,4.0,2.0,6.0,4.0,2.0,0,Crashed short of the runway in fog. The pilot descended below published minimums because of low fuel.  Inadequate preflight planning. Improper IFR operation.
"January 03, 1976",1005,"Moscow, Russia",Aeroflot,2003,Moscow - Vnukovo,Tupolev TU-124,CCCP-45036,3351001,61.0,56.0,5.0,61.0,56.0,5.0,1,"After taking off the plane entered clouds. Both artificial horizons failed. The plane rolled to the left  until it reached an angle of 95 degrees, descended and crashed."
"January 08, 1976",?,"Mactan Island, Philippines",Philippine Aerotransport,?,?,Britten-Norman BN-2A-21 Islander,RP-C2135,439,7.0,6.0,1.0,7.0,6.0,1.0,0,Crashed under unknown circumstances.
"January 18, 1976",15:44,"Near San Borja, Bolivia",Frigorifico Maniqui,?,?,Douglas C-47,CP- 573,4682,10.0,7.0,3.0,7.0,4.0,3.0,0,"The cargo plane was forced to return to San Borja after the No.2 engine failed.  After crossing the runway the plane crashed into trees 1.2 miles past the end of the runway. Malfunction or failure of the No. 2 engine, landing gear malfunction and an improper landing procedure."
"January 20, 1976",0715,"Near Loja, Ecuador",TAME,?,Loja - Guayaquil,Hawker Siddeley HS-748-246,FAE-683,1683,42.0,36.0,6.0,34.0,28.0,6.0,0,The aircraft lost altitude and the right wing struck trees as the plane crashed in the Chillacocha mountain range at 9.000 ft. while en route. It is believed that the loss of altitude and the subsequent collision with ground was the consequence of orographic currents encountered over the mountainous area.
"January 21, 1976",?,"Near Shanghai, China",CAAC,?,Guangzhou - Changsha,Antonov AN-24,B-492,?,40.0,36.0,4.0,40.0,36.0,4.0,0,Crashed during the approach. Reasons unknown.
"January 22, 1976",?,"Chapeco, Brazil",Transbrasil,?,Chapecó - Erechim - Porto Alegre,Embraer 110C Bandeirante,PT-TBD,110011,11.0,9.0,2.0,9.0,7.0,2.0,0,Crashed during takeoff.
"February 04, 1976",?,"Off Santa Maria, Colombia",LAC Colombia,?,Santa Maria - Curacao,Douglas DC-6A,HK-1389,43519/221,3.0,0.0,3.0,3.0,0.0,3.0,0,The cargo plane crashed into the ocean. Engine failure.
"February 08, 1976",1044,"Van Nuys, California",Mercer Airlines,?,Burbank - Ontario,Douglas DC-6,N901MA,36326,6.0,1.0,5.0,3.0,1.0,2.0,0,"The aircraft took off from Burbank when a propeller blade separated, causing an engine failure. The aircraft circled back to the airport and attempted an emergency landing but upon touchdown the planes speed was too great. As a result, the landing was aborted and the flight crew opted to divert to nearby Van Nuys Airport. While en route, a second engine failed and the aircraft crashed onto the Woodley Golf Course one mile short of the runway at Van Nuys. The aircraft plowed into a small unoccupied building and came to rest against a portable bungalow."
"February 09, 1976",0815,"Irkutsk, Russia",Aeroflot,3739,Irkutsk - Novosibirsk,Tupolev TU-104A,CCCP-42327,66600201,124.0,104.0,10.0,24.0,15.0,9.0,0,After taking off the plane began to bank to the right until it crashed. Asymmetrical refueling of the plane. Pilot error.
"February 21, 1976",1633,"St. Croix, Virgin Islands",Antilles Air,?,"St. Thomas, VI - St. Croix, VI",Grumman G-21A seaplane,N4772C,B131,11.0,10.0,1.0,5.0,5.0,0.0,0,Crashed into the water and sank while attempting and emergency forced. Unscheduled feathering of right prop for undetermined reasons. Engine failure for undetermined reasons.
"March 01, 1976",?,"Sibiu, Romania",Tarom,?,?,Ilyushin II-14P,YR-ILO,14803061,9.0,5.0,4.0,6.0,3.0,3.0,0,Crashed short of the runway.
"March 02, 1976",?,Southeastern Bolivia,TAM (Bolivia),?,Camiri - Itaguasurenda,IAI Arava 201,TAM-76,24,22.0,18.0,4.0,19.0,15.0,4.0,0,Crashed in the jungle while en route. Cause unknown
"March 06, 1976",0058,"Near Voronezh, Russia",Aeroflot,909,Moscow - Yerevan,Ilyushin IL-18E,CCCP-75408,186009201,111.0,100.0,11.0,111.0,100.0,11.0,7,"The aircraft plunged to earth from FL 260 in darkness. Electrical power failure of compass, gyros and auto pilot caused the crew to lose control of the plane."
"March 07, 1976",1107,"Igiugig, Alaska",Kodiak Western Alaska Airlines,?,"South Nanek, AK - Dillingham, AK",Cessna 207,N91142,20700089,4.0,3.0,1.0,4.0,3.0,1.0,0,Continued VFR flight in to adverse weather.
"April 02, 1976",?,"Near Puerto Asis, Colombia",SATENA,?,Florencia - Puerto Asis,Douglas DC-3,FAC-676,?,16.0,14.0,2.0,5.0,4.0,1.0,0,Crashed into a lake while on approach in heavy rain.
"April 05, 1976",0819,"Ketchikan, Alaska",Alaska Airlines,60,Juneau - Ketchikan,Boeing B-727-81,N124AS,18821,50.0,45.0,5.0,1.0,1.0,0.0,0,The plane overran the runway after landing at excessive speed. The captain's faulty judgement in initiating a go-around after he was committed to a full stop landing following an excessively long and fast touchdown from an unstabilized approach.
"April 14, 1976",?,"Neuquen, Argentina",Yacimientos Petroliferos Fiscales,?,?,Hawker Siddeley HS-748 2,LV-HHB,1540,34.0,31.0,3.0,34.0,31.0,3.0,0,Structural failure and in-flight separation of the right wing. Fatigue cracks attributed to stress due to design. These cracks became critical sooner than anticipated. The cracks remained undetected and became critical because the manufacturer's inspection program for the area was insufficiently.
